Episode 1 Step 13: Training Loss nan, Return 8.0
Episode 2 Step 42: Training Loss nan, Return 9.0
Episode 3 Step 19: Training Loss nan, Return 9.0
Episode 4 Step 18: Training Loss nan, Return 9.0
Episode 5 Step 13: Training Loss nan, Return 10.0
Episode 6 Step 28: Training Loss nan, Return 11.0
Episode 7 Step 22: Training Loss nan, Return 9.0
Episode 8 Step 24: Training Loss nan, Return 8.0
Episode 9 Step 15: Training Loss nan, Return 11.0
Episode 10 Step 39: Training Loss nan, Return 10.0
Episode 11 Step 18: Training Loss nan, Return 10.0
Episode 12 Step 30: Training Loss nan, Return 9.0
Episode 13 Step 22: Training Loss nan, Return 10.0
Episode 14 Step 12: Training Loss nan, Return 10.0
Episode 15 Step 13: Training Loss nan, Return 10.0
Episode 16 Step 16: Training Loss nan, Return 9.0
Episode 17 Step 21: Training Loss nan, Return 9.0
Episode 18 Step 17: Training Loss nan, Return 9.0
Episode 19 Step 13: Training Loss nan, Return 9.0
Episode 20 Step 13: Training Loss nan, Return 10.0
Episode 21 Step 51: Training Loss nan, Return 9.0
Episode 22 Step 16: Training Loss nan, Return 10.0
Episode 23 Step 26: Training Loss nan, Return 10.0
D:\assignment4\DQN-CartPole-Cartpole\main.py:77: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at C:\actions-runner\_work\pytorch\pytorch\pytorch\torch\csrc\autograd\generated\python_variable_methods.cpp:837.)
  loss = torch.mean(torch.tensor(losses))
Episode 24 Step 14: Training Loss 1.1282751560211182, Return 11.0
Episode 25 Step 14: Training Loss 1.1098873615264893, Return 9.0
Episode 26 Step 13: Training Loss 1.0817158222198486, Return 9.0
Episode 27 Step 14: Training Loss 1.0536540746688843, Return 10.0
Episode 28 Step 21: Training Loss 1.021098256111145, Return 10.0
Episode 29 Step 15: Training Loss 0.9855133295059204, Return 10.0
Episode 30 Step 10: Training Loss 0.9626268148422241, Return 9.0
Episode 31 Step 59: Training Loss 0.9053055644035339, Return 10.0
Episode 32 Step 12: Training Loss 0.845546305179596, Return 9.0
Episode 33 Step 12: Training Loss 0.8243339657783508, Return 9.0
Episode 34 Step 11: Training Loss 0.803297221660614, Return 10.0
Episode 35 Step 13: Training Loss 0.7831522822380066, Return 10.0
Episode 36 Step 25: Training Loss 0.7565707564353943, Return 9.0
Episode 37 Step 23: Training Loss 0.7228366732597351, Return 10.0
Episode 38 Step 21: Training Loss 0.6906393766403198, Return 10.0
Episode 39 Step 43: Training Loss 0.6435642838478088, Return 9.0
Episode 40 Step 20: Training Loss 0.5959932208061218, Return 8.0
Episode 41 Step 25: Training Loss 0.5656154751777649, Return 10.0
Episode 42 Step 16: Training Loss 0.5353822708129883, Return 9.0
Episode 43 Step 14: Training Loss 0.5170810222625732, Return 10.0
Episode 44 Step 19: Training Loss 0.4969639480113983, Return 9.0
Episode 45 Step 36: Training Loss 0.4664680063724518, Return 10.0
Episode 46 Step 30: Training Loss 0.43133845925331116, Return 9.0
Episode 47 Step 18: Training Loss 0.4083487093448639, Return 10.0
Episode 48 Step 52: Training Loss 0.3748262822628021, Return 10.0
