gamma=[ 0.9,0.95,0.99]
lr=[0.002, 0.001, 0.0005, 0.0001]

Episode 1 Step 14: Training Loss nan, Return 9.0
Episode 2 Step 26: Training Loss nan, Return 9.0
Episode 3 Step 18: Training Loss nan, Return 10.0
Episode 4 Step 15: Training Loss nan, Return 10.0
Episode 5 Step 11: Training Loss nan, Return 10.0
Episode 6 Step 19: Training Loss nan, Return 9.0
Episode 7 Step 20: Training Loss nan, Return 8.0
Episode 8 Step 8: Training Loss nan, Return 10.0
Episode 9 Step 11: Training Loss nan, Return 9.0
Episode 10 Step 13: Training Loss nan, Return 9.0
Episode 11 Step 10: Training Loss nan, Return 9.0
Episode 12 Step 17: Training Loss nan, Return 10.0
Episode 13 Step 9: Training Loss nan, Return 10.0
Episode 14 Step 11: Training Loss nan, Return 9.0
Episode 15 Step 17: Training Loss nan, Return 9.0
Episode 16 Step 16: Training Loss nan, Return 9.0
Episode 17 Step 19: Training Loss nan, Return 9.0
D:\assignment4\DQN-CartPole-Cartpole\main.py:74: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at C:\actions-runner\_work\pytorch\pytorch\pytorch\torch\csrc\autograd\generated\python_variable_methods.cpp:837.)
  loss = torch.mean(torch.tensor(losses))
Episode 18 Step 18: Training Loss 0.940333902835846, Return 9.0
Episode 19 Step 13: Training Loss 0.6597141623497009, Return 9.0
Episode 20 Step 11: Training Loss 0.47147148847579956, Return 10.0
Episode 21 Step 19: Training Loss 0.2815163731575012, Return 10.0
Episode 22 Step 16: Training Loss 0.13689172267913818, Return 9.0
Episode 23 Step 16: Training Loss 0.07169301062822342, Return 8.0
Episode 24 Step 12: Training Loss 0.047151967883110046, Return 8.0
Episode 25 Step 10: Training Loss 0.03888480365276337, Return 9.0
Episode 26 Step 9: Training Loss 0.03212013095617294, Return 12.0
Episode 27 Step 23: Training Loss 0.024617189541459084, Return 12.0
Episode 28 Step 11: Training Loss 0.01688493974506855, Return 9.0
Episode 29 Step 10: Training Loss 0.0138874975964427, Return 12.0
Episode 30 Step 16: Training Loss 0.011086203157901764, Return 13.0
Episode 31 Step 14: Training Loss 0.008680612780153751, Return 12.0
