Episode 1 Step 45: Training Loss nan, Return 10.0
Episode 2 Step 14: Training Loss nan, Return 10.0
Episode 3 Step 14: Training Loss nan, Return 10.0
Episode 4 Step 12: Training Loss nan, Return 10.0
Episode 5 Step 13: Training Loss nan, Return 10.0
Episode 6 Step 12: Training Loss nan, Return 10.0
Episode 7 Step 20: Training Loss nan, Return 8.0
Episode 8 Step 25: Training Loss nan, Return 8.0
Episode 9 Step 22: Training Loss nan, Return 9.0
Episode 10 Step 24: Training Loss nan, Return 10.0
Episode 11 Step 14: Training Loss nan, Return 9.0
Episode 12 Step 12: Training Loss nan, Return 9.0
Episode 13 Step 20: Training Loss nan, Return 8.0
D:\assignment4\DQN-CartPole-Cartpole\main.py:74: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at C:\actions-runner\_work\pytorch\pytorch\pytorch\torch\csrc\autograd\generated\python_variable_methods.cpp:837.)
  loss = torch.mean(torch.tensor(losses))
Episode 14 Step 29: Training Loss 0.944488525390625, Return 10.0
Episode 15 Step 28: Training Loss 0.5124716758728027, Return 9.0
Episode 16 Step 18: Training Loss 0.20841512084007263, Return 10.0
Episode 17 Step 18: Training Loss 0.08741460740566254, Return 10.0
Episode 18 Step 11: Training Loss 0.04866852983832359, Return 10.0
Episode 19 Step 11: Training Loss 0.04011610150337219, Return 9.0
Episode 20 Step 15: Training Loss 0.029718220233917236, Return 11.0
Episode 21 Step 14: Training Loss 0.024718236178159714, Return 10.0
Episode 22 Step 9: Training Loss 0.019544202834367752, Return 10.0
Episode 23 Step 34: Training Loss 0.014966316521167755, Return 9.0
Episode 24 Step 14: Training Loss 0.013033666647970676, Return 11.0
Episode 25 Step 19: Training Loss 0.0075261397287249565, Return 11.0
Episode 26 Step 11: Training Loss 0.0048377118073403835, Return 12.0
Episode 27 Step 12: Training Loss 0.003649561433121562, Return 11.0
Episode 28 Step 9: Training Loss 0.003385466057807207, Return 9.0
Episode 29 Step 10: Training Loss 0.0031752928625792265, Return 8.0
Episode 30 Step 22: Training Loss 0.002808505203574896, Return 10.0
Episode 31 Step 21: Training Loss 0.002829435048624873, Return 9.0
Episode 32 Step 17: Training Loss 0.002893637167289853, Return 8.0
Episode 33 Step 17: Training Loss 0.003098064800724387, Return 8.0
Episode 34 Step 12: Training Loss 0.003230591304600239, Return 9.0
Episode 35 Step 12: Training Loss 0.0031234680209308863, Return 9.0
Episode 36 Step 17: Training Loss 0.0034189873840659857, Return 10.0
Episode 37 Step 11: Training Loss 0.0038034841418266296, Return 8.0
Episode 38 Step 14: Training Loss 0.004304072819650173, Return 10.0
Episode 39 Step 14: Training Loss 0.004236352629959583, Return 9.0
Episode 40 Step 10: Training Loss 0.0043795909732580185, Return 9.0
Episode 41 Step 19: Training Loss 0.004911653231829405, Return 10.0
Episode 42 Step 11: Training Loss 0.005125562660396099, Return 10.0
Episode 43 Step 8: Training Loss 0.005379748065024614, Return 9.0
Episode 44 Step 14: Training Loss 0.005498930811882019, Return 9.0
Episode 45 Step 12: Training Loss 0.00557676749303937, Return 9.0
Episode 46 Step 10: Training Loss 0.006390025373548269, Return 10.0
Episode 47 Step 11: Training Loss 0.006037034094333649, Return 10.0
Episode 48 Step 8: Training Loss 0.006767814047634602, Return 9.0
Episode 49 Step 13: Training Loss 0.006300570908933878, Return 10.0
Episode 50 Step 15: Training Loss 0.007354727014899254, Return 9.0
Episode 51 Step 11: Training Loss 0.006808184087276459, Return 10.0
Episode 52 Step 11: Training Loss 0.0076814922504127026, Return 10.0
